ContestID,ContestName,NominatingParty,PartyCode,AreaType,AreaNum,OfficeSeqNo,BallotOrder,CandidateID,CandidateName,CurrentDateTime,VoteFor,CandidateVotes,CandidatePercentage,PrecinctsReporting
300031554,"State Representative, 19th District","Republican","","","HD 19",114014,,300046949,"David Brown",12/3/2024 1:26:02 PM,1,14534,0.45596862745098,12/12
300031555,"State Representative, 20th District","","","","HD 20",114015,,9901,"Write-in",12/3/2024 1:26:02 PM,1,11,0.00102069221490211,7/14
300031555,"State Representative, 20th District","Democrat, Independent","","","HD 20",114015,,300046958,"Paul Evans",12/3/2024 1:26:02 PM,1,6503,0.603414679409854,7/14
300031555,"State Representative, 20th District","Republican","","","HD 20",114015,,300046961,"Kevin S Chambers",12/3/2024 1:26:02 PM,1,4263,0.395564628375244,7/14
300031556,"State Representative, 21st District","","","","HD 21",114016,,9901,"Write-in",12/3/2024 1:26:02 PM,1,49,0.00170168432019448,15/15
300031556,"State Representative, 21st District","Democrat, Independent, Working Families","","","HD 21",114016,,300046964,"Virginia Stapleton",12/3/2024 1:26:02 PM,1,13822,0.480013891300573,15/15
300031556,"State Representative, 21st District","Republican","","","HD 21",114016,,300046963,"Kevin L Mannix",12/3/2024 1:26:02 PM,1,14924,0.518284424379233,15/15
300031557,"State Representative, 22nd District","","","","HD 22",114017,,9901,"Write-in",12/3/2024 1:26:02 PM,1,36,0.00172786177105832,19/19
300031557,"State Representative, 22nd District","Democrat, Working Families","","","HD 22",114017,,300046966,"Lesly M Munoz",12/3/2024 1:26:02 PM,1,10480,0.502999760019198,19/19
300031557,"State Representative, 22nd District","Republican","","","HD 22",114017,,300046967,"Tracy M Cramer",12/3/2024 1:26:02 PM,1,10319,0.495272378209743,19/19
300031592,"State Representative, 57th District","","","","HD 57",114022,,9901,"Write-in",12/3/2024 1:26:02 PM,1,0,0,44/49
300031592,"State Representative, 57th District","Republican, Democrat","","","HD 57",114022,,300047275,"Greg Smith",12/3/2024 1:26:02 PM,1,0,0,44/49
300030964,"Marion County Commissioner, Position 3","","","","Marion County",115027,,9901,"Write-in",12/3/2024 1:26:02 PM,1,4436,0.0432704500673053,118/118
300030964,"Marion County Commissioner, Position 3","Republican","","","Marion County",115027,,300039908,"Danielle Bethell",12/3/2024 1:26:02 PM,1,98082,0.956729549932695,118/118
300031596,"Judge of the Supreme Court, Position 1","","","","Statewide Nonpartisan",117029,,9901,"Write-in",12/3/2024 1:26:02 PM,1,1841,0.0213895666318113,1148/1314
300031596,"Judge of the Supreme Court, Position 1","","","","Statewide Nonpartisan",117029,,300046714,"Stephen K Bushong - Incumbent",12/3/2024 1:26:02 PM,1,84229,0.978610433368189,1148/1314
300031597,"Judge of the Supreme Court, Position 7","","","","Statewide Nonpartisan",117030,,9901,"Write-in",12/3/2024 1:26:02 PM,1,1650,0.019319711960658,1148/1314
300031597,"Judge of the Supreme Court, Position 7","","","","Statewide Nonpartisan",117030,,300046715,"Bronson D James - Incumbent",12/3/2024 1:26:02 PM,1,83755,0.980680288039342,1148/1314
300031599,"Judge of the Circuit Court, 3rd District, Position 11","","","","Circuit Court District 03",118021,,9901,"Write-in",12/3/2024 1:26:02 PM,1,805,0.00720196823976739,118/118
300031599,"Judge of the Circuit Court, 3rd District, Position 11","","","","Circuit Court District 03",118021,,300046834,"David L Carlson",12/3/2024 1:26:02 PM,1,55163,0.493518228584209,118/118
300031599,"Judge of the Circuit Court, 3rd District, Position 11","","","","Circuit Court District 03",118021,,300046835,"Michelle Vlach-Ing",12/3/2024 1:26:02 PM,1,55807,0.499279803176023,118/118
300030965,"Marion County Sheriff","","","","Marion County",120028,,9901,"Write-in",12/3/2024 1:26:02 PM,1,576,0.0047559283968558,118/118
300030965,"Marion County Sheriff","","","","Marion County",120028,,300045957,"Nick Hunter",12/3/2024 1:26:02 PM,1,74132,0.612094590131449,118/118
300030965,"Marion County Sheriff","","","","Marion County",120028,,300045984,"Stacy Rejaian",12/3/2024 1:26:02 PM,1,46404,0.383149481471696,118/118
300030963,"Marion County Clerk","","","","Marion County",120029,,9901,"Write-in",12/3/2024 1:26:02 PM,1,1885,0.0195361081170716,118/118
300030963,"Marion County Clerk","","","","Marion County",120029,,300045985,"Bill Burgess",12/3/2024 1:26:02 PM,1,94603,0.980463891882928,118/118
300030977,"City of Gates, Mayor","","","","City of Gates",123028,,9901,"Write-in",12/3/2024 1:26:02 PM,1,69,1,1/2
300030977,"City of Gates, Mayor","","","","City of Gates",123028,,300047259,"No Candidate Filed",12/3/2024 1:26:02 PM,1,0,0,1/2
300030975,"City of Gates, Councilor (Vote For 2)","","","","City of Gates",123029,,9901,"Write-in",12/3/2024 1:26:02 PM,2,8,0.032520325203252,1/2
300030975,"City of Gates, Councilor (Vote For 2)","","","","City of Gates",123029,,300046588,"Gary Crum",12/3/2024 1:26:02 PM,2,132,0.536585365853659,1/2
300030975,"City of Gates, Councilor (Vote For 2)","","","","City of Gates",123029,,300046595,"Sandi Heward",12/3/2024 1:26:02 PM,2,106,0.430894308943089,1/2
300030968,"City of Aumsville, Mayor","","","","City of Aumsville",123030,,9901,"Write-in",12/3/2024 1:26:02 PM,1,107,0.0793768545994065,1/1
300030968,"City of Aumsville, Mayor","","","","City of Aumsville",123030,,100085532,"Angelica Ceja",12/3/2024 1:26:02 PM,1,1241,0.920623145400593,1/1
300030991,"City of Salem, Mayor","","","","City of Salem",123030,,9901,"Write-in",12/3/2024 1:26:02 PM,1,3725,0.0959631089471108,32/36
300030991,"City of Salem, Mayor","","","","City of Salem",123030,,300044869,"Julie Hoy",12/3/2024 1:26:02 PM,1,35092,0.904036891052889,32/36
300030992,"City of Salem, Councilor, Ward 1","","","","City of Salem, Ward 1",123031,,9901,"Write-in",12/3/2024 1:26:02 PM,1,102,0.0294287362954414,5/6
300030992,"City of Salem, Councilor, Ward 1","","","","City of Salem, Ward 1",123031,,300044871,"Paul Tigan",12/3/2024 1:26:02 PM,1,3364,0.970571263704559,5/6
300030966,"City of Aumsville, Councilor (Vote For 3)","","","","City of Aumsville",123031,,9901,"Write-in",12/3/2024 1:26:02 PM,3,93,0.0321132596685083,1/1
300030966,"City of Aumsville, Councilor (Vote For 3)","","","","City of Aumsville",123031,,100073098,"Scott Lee",12/3/2024 1:26:02 PM,3,928,0.320441988950276,1/1
300030966,"City of Aumsville, Councilor (Vote For 3)","","","","City of Aumsville",123031,,300045958,"Katie Wallace",12/3/2024 1:26:02 PM,3,986,0.340469613259669,1/1
300030966,"City of Aumsville, Councilor (Vote For 3)","","","","City of Aumsville",123031,,300045959,"Walter R Wick",12/3/2024 1:26:02 PM,3,889,0.306975138121547,1/1
300030972,"City of Aurora, Mayor","","","","City of Aurora",123032,,9901,"Write-in",12/3/2024 1:26:02 PM,1,26,0.0504854368932039,1/1
300030972,"City of Aurora, Mayor","","","","City of Aurora",123032,,100073151,"Brian Asher",12/3/2024 1:26:02 PM,1,489,0.949514563106796,1/1
300030970,"City of Aurora, Councilor, Position 3","","","","City of Aurora",123033,,9901,"Write-in",12/3/2024 1:26:02 PM,1,20,0.043010752688172,1/1
300030970,"City of Aurora, Councilor, Position 3","","","","City of Aurora",123033,,100055692,"Mercedes W Rhoden-Feely",12/3/2024 1:26:02 PM,1,445,0.956989247311828,1/1
300030971,"City of Aurora, Councilor, Position 4","","","","City of Aurora",123034,,9901,"Write-in",12/3/2024 1:26:02 PM,1,16,0.0346320346320346,1/1
300030971,"City of Aurora, Councilor, Position 4","","","","City of Aurora",123034,,300046767,"Julie Sixkiller",12/3/2024 1:26:02 PM,1,446,0.965367965367965,1/1
300030982,"City of Idanha, Councilor (Vote For 5)","","","","City of Idanha",123034,,9901,"Write-in",12/3/2024 1:26:02 PM,5,43,1,1/2
300030982,"City of Idanha, Councilor (Vote For 5)","","","","City of Idanha",123034,,300047258,"No Candidate Filed",12/3/2024 1:26:02 PM,5,0,0,1/2
300031467,"City of Detroit, Councilor (Vote For 7)","","","","City of Detroit",123035,,9901,"Write-in",12/3/2024 1:26:02 PM,7,214,0.388384754990926,1/1
300031467,"City of Detroit, Councilor (Vote For 7)","","","","City of Detroit",123035,,300046599,"Jim Trett",12/3/2024 1:26:02 PM,7,106,0.192377495462795,1/1
300031467,"City of Detroit, Councilor (Vote For 7)","","","","City of Detroit",123035,,300046600,"Eric J Page",12/3/2024 1:26:02 PM,7,82,0.148820326678766,1/1
300031467,"City of Detroit, Councilor (Vote For 7)","","","","City of Detroit",123035,,300046601,"Todd J Smith",12/3/2024 1:26:02 PM,7,86,0.156079854809437,1/1
300031467,"City of Detroit, Councilor (Vote For 7)","","","","City of Detroit",123035,,300046602,"Christine Rasmussen",12/3/2024 1:26:02 PM,7,63,0.114337568058076,1/1
300030974,"City of Donald, Mayor","","","","City of Donald",123036,,9901,"Write-in",12/3/2024 1:26:02 PM,1,362,1,1/1
300030974,"City of Donald, Mayor","","","","City of Donald",123036,,300047346,"No Candidate Filed",12/3/2024 1:26:02 PM,1,0,0,1/1
300030973,"City of Donald, Councilor (Vote For 3)","","","","City of Donald",123037,,9901,"Write-in",12/3/2024 1:26:02 PM,3,543,1,1/1
300030973,"City of Donald, Councilor (Vote For 3)","","","","City of Donald",123037,,300047347,"No Candidate Filed",12/3/2024 1:26:02 PM,3,0,0,1/1
300030977,"City of Gates, Mayor","","","","City of Gates",123038,,9901,"Write-in",12/3/2024 1:26:02 PM,1,69,1,1/2
300030977,"City of Gates, Mayor","","","","City of Gates",123038,,300047259,"No Candidate Filed",12/3/2024 1:26:02 PM,1,0,0,1/2
300030975,"City of Gates, Councilor (Vote For 2)","","","","City of Gates",123039,,9901,"Write-in",12/3/2024 1:26:02 PM,2,8,0.032520325203252,1/2
300030975,"City of Gates, Councilor (Vote For 2)","","","","City of Gates",123039,,300046588,"Gary Crum",12/3/2024 1:26:02 PM,2,132,0.536585365853659,1/2
300030975,"City of Gates, Councilor (Vote For 2)","","","","City of Gates",123039,,300046595,"Sandi Heward",12/3/2024 1:26:02 PM,2,106,0.430894308943089,1/2
300030979,"City of Gervais, Mayor","","","","City of Gervais",123040,,9901,"Write-in",12/3/2024 1:26:02 PM,1,11,0.0136645962732919,1/1
300030979,"City of Gervais, Mayor","","","","City of Gervais",123040,,300047441,"Brian Wagner",12/3/2024 1:26:02 PM,1,417,0.518012422360248,1/1
300030979,"City of Gervais, Mayor","","","","City of Gervais",123040,,300047442,"Robert Ladd",12/3/2024 1:26:02 PM,1,223,0.277018633540373,1/1
300030979,"City of Gervais, Mayor","","","","City of Gervais",123040,,300047443,"Tilda O Flores",12/3/2024 1:26:02 PM,1,154,0.191304347826087,1/1
300030981,"City of Hubbard, Mayor","","","","City of Hubbard",123041,,9901,"Write-in",12/3/2024 1:26:02 PM,1,40,0.0411099691675231,1/1
300030981,"City of Hubbard, Mayor","","","","City of Hubbard",123041,,100073124,"Charles EW Rostocil",12/3/2024 1:26:02 PM,1,933,0.958890030832477,1/1
300031656,"City Of Mill City, Mayor","","","","City Of Mill City",123041,,9901,"Write-in",12/3/2024 1:26:02 PM,1,7,0.0593220338983051,1/2
300031656,"City Of Mill City, Mayor","","","","City Of Mill City",123041,,100034647,"Tim Kirsch",12/3/2024 1:26:02 PM,1,111,0.940677966101695,1/2
300030980,"City of Hubbard, Councilor (Vote For 2)","","","","City of Hubbard",123042,,9901,"Write-in",12/3/2024 1:26:02 PM,2,183,0.181008902077151,1/1
300030980,"City of Hubbard, Councilor (Vote For 2)","","","","City of Hubbard",123042,,300046532,"Patrick Joseph Zotti",12/3/2024 1:26:02 PM,2,828,0.818991097922849,1/1
300031713,"City Of Mill City, Council Members (Vote For 4)","","","","City Of Mill City",123042,,9901,"Write-in",12/3/2024 1:26:02 PM,4,3,0.0131578947368421,1/2
300031713,"City Of Mill City, Council Members (Vote For 4)","","","","City Of Mill City",123042,,100056046,"Dawn E Plotts",12/3/2024 1:26:02 PM,4,87,0.381578947368421,1/2
300031713,"City Of Mill City, Council Members (Vote For 4)","","","","City Of Mill City",123042,,300047115,"Misty R  Strasser",12/3/2024 1:26:02 PM,4,67,0.293859649122807,1/2
300031713,"City Of Mill City, Council Members (Vote For 4)","","","","City Of Mill City",123042,,300047118,"Mike Van Atta",12/3/2024 1:26:02 PM,4,71,0.31140350877193,1/2
300030982,"City of Idanha, Councilor (Vote For 5)","","","","City of Idanha",123043,,9901,"Write-in",12/3/2024 1:26:02 PM,5,43,1,1/2
300030982,"City of Idanha, Councilor (Vote For 5)","","","","City of Idanha",123043,,300047258,"No Candidate Filed",12/3/2024 1:26:02 PM,5,0,0,1/2
300030984,"City of Jefferson, Mayor","","","","City of Jefferson",123044,,9901,"Write-in",12/3/2024 1:26:02 PM,1,73,0.0732196589769308,1/1
300030984,"City of Jefferson, Mayor","","","","City of Jefferson",123044,,300046391,"David Watkins",12/3/2024 1:26:02 PM,1,924,0.926780341023069,1/1
300030983,"City of Jefferson, Councilor (Vote For 3)","","","","City of Jefferson",123045,,9901,"Write-in",12/3/2024 1:26:02 PM,3,141,0.0873065015479876,1/1
300030983,"City of Jefferson, Councilor (Vote For 3)","","","","City of Jefferson",123045,,100073132,"David Kellogg",12/3/2024 1:26:02 PM,3,727,0.45015479876161,1/1
300030983,"City of Jefferson, Councilor (Vote For 3)","","","","City of Jefferson",123045,,300046392,"Kate Gurley-Steele",12/3/2024 1:26:02 PM,3,747,0.462538699690402,1/1
300030988,"City of Keizer, Mayor","","","","City of Keizer",123046,,9901,"Write-in",12/3/2024 1:26:02 PM,1,92,0.00575611587311519,6/6
300030988,"City of Keizer, Mayor","","","","City of Keizer",123046,,100073133,"Cathy Clark",12/3/2024 1:26:02 PM,1,8310,0.519927422886817,6/6
300030988,"City of Keizer, Mayor","","","","City of Keizer",123046,,300046676,"Lore Christopher",12/3/2024 1:26:02 PM,1,7581,0.474316461240068,6/6
300030985,"City of Keizer, Councilor, Position #1","","","","City of Keizer",123047,,9901,"Write-in",12/3/2024 1:26:02 PM,1,95,0.00683256616800921,6/6
300030985,"City of Keizer, Councilor, Position #1","","","","City of Keizer",123047,,300046682,"Tammy Kunz",12/3/2024 1:26:02 PM,1,4864,0.349827387802071,6/6
300030985,"City of Keizer, Councilor, Position #1","","","","City of Keizer",123047,,300046683,"Marlene Parsons",12/3/2024 1:26:02 PM,1,8945,0.643340046029919,6/6
300030986,"City of Keizer, Councilor, Position #2","","","","City of Keizer",123048,,9901,"Write-in",12/3/2024 1:26:02 PM,1,285,0.0267530273162489,6/6
300030986,"City of Keizer, Councilor, Position #2","","","","City of Keizer",123048,,300045974,"Shaney Starr",12/3/2024 1:26:02 PM,1,10368,0.973246972683751,6/6
300030987,"City of Keizer, Councilor, Position #3","","","","City of Keizer",123049,,9901,"Write-in",12/3/2024 1:26:02 PM,1,249,0.0232753785754347,6/6
300030987,"City of Keizer, Councilor, Position #3","","","","City of Keizer",123049,,100073137,"Kyle Juran",12/3/2024 1:26:02 PM,1,10449,0.976724621424565,6/6
300031656,"City Of Mill City, Mayor","","","","City of Mill City",123050,,9901,"Write-in",12/3/2024 1:26:02 PM,1,7,0.0593220338983051,1/2
300031656,"City Of Mill City, Mayor","","","","City of Mill City",123050,,100034647,"Tim Kirsch",12/3/2024 1:26:02 PM,1,111,0.940677966101695,1/2
300031713,"City Of Mill City, Council Members (Vote For 4)","","","","City of Mill City",123051,,9901,"Write-in",12/3/2024 1:26:02 PM,4,3,0.0131578947368421,1/2
300031713,"City Of Mill City, Council Members (Vote For 4)","","","","City of Mill City",123051,,100056046,"Dawn E Plotts",12/3/2024 1:26:02 PM,4,87,0.381578947368421,1/2
300031713,"City Of Mill City, Council Members (Vote For 4)","","","","City of Mill City",123051,,300047115,"Misty R  Strasser",12/3/2024 1:26:02 PM,4,67,0.293859649122807,1/2
300031713,"City Of Mill City, Council Members (Vote For 4)","","","","City of Mill City",123051,,300047118,"Mike Van Atta",12/3/2024 1:26:02 PM,4,71,0.31140350877193,1/2
300030990,"City of Mt Angel, Mayor","","","","City of Mt Angel",123052,,9901,"Write-in",12/3/2024 1:26:02 PM,1,80,0.0668337510442774,1/1
300030990,"City of Mt Angel, Mayor","","","","City of Mt Angel",123052,,300046635,"Joseph Pfau",12/3/2024 1:26:02 PM,1,1117,0.933166248955723,1/1
300030989,"City of Mt Angel, Councilor (Vote For 3)","","","","City of Mt Angel",123053,,9901,"Write-in",12/3/2024 1:26:02 PM,3,93,0.0325288562434418,1/1
300030989,"City of Mt Angel, Councilor (Vote For 3)","","","","City of Mt Angel",123053,,100073157,"Shelley Otte",12/3/2024 1:26:02 PM,3,924,0.323189926547744,1/1
300030989,"City of Mt Angel, Councilor (Vote For 3)","","","","City of Mt Angel",123053,,100073158,"David Hoffer",12/3/2024 1:26:02 PM,3,977,0.341727876880028,1/1
300030989,"City of Mt Angel, Councilor (Vote For 3)","","","","City of Mt Angel",123053,,300046636,"Jack Belleque",12/3/2024 1:26:02 PM,3,865,0.302553340328786,1/1
300030991,"City of Salem, Mayor","","","","City of Salem",123054,,9901,"Write-in",12/3/2024 1:26:02 PM,1,3725,0.0959631089471108,32/36
300030991,"City of Salem, Mayor","","","","City of Salem",123054,,300044869,"Julie Hoy",12/3/2024 1:26:02 PM,1,35092,0.904036891052889,32/36
300030992,"City of Salem, Councilor, Ward 1","","","","City of Salem, Ward 1",123055,,9901,"Write-in",12/3/2024 1:26:02 PM,1,102,0.0294287362954414,5/6
300030992,"City of Salem, Councilor, Ward 1","","","","City of Salem, Ward 1",123055,,300044871,"Paul Tigan",12/3/2024 1:26:02 PM,1,3364,0.970571263704559,5/6
300030993,"City of Salem, Councilor, Ward 3","","","","City of Salem, Ward 3",123056,,9901,"Write-in",12/3/2024 1:26:02 PM,1,185,0.0336853605243991,4/4
300030993,"City of Salem, Councilor, Ward 3","","","","City of Salem, Ward 3",123056,,300044876,"Shane Matthews",12/3/2024 1:26:02 PM,1,5307,0.966314639475601,4/4
300030994,"City of Salem, Councilor, Ward 5","","","","City of Salem, Ward 5",123057,,9901,"Write-in",12/3/2024 1:26:02 PM,1,73,0.0193531283138918,6/6
300030994,"City of Salem, Councilor, Ward 5","","","","City of Salem, Ward 5",123057,,300044877,"Irvin M Brown",12/3/2024 1:26:02 PM,1,3699,0.980646871686108,6/6
300030995,"City of Salem, Councilor, Ward 7","","","","City of Salem, Ward 7",123058,,9901,"Write-in",12/3/2024 1:26:02 PM,1,136,0.0193154381479903,3/3
300030995,"City of Salem, Councilor, Ward 7","","","","City of Salem, Ward 7",123058,,300044879,"Vanessa Nordyke",12/3/2024 1:26:02 PM,1,6905,0.98068456185201,3/3
300030997,"City of Scotts Mills, Mayor","","","","City of Scotts Mills",123059,,9901,"Write-in",12/3/2024 1:26:02 PM,1,7,0.0344827586206897,1/1
300030997,"City of Scotts Mills, Mayor","","","","City of Scotts Mills",123059,,100073161,"Paul Brakeman",12/3/2024 1:26:02 PM,1,130,0.640394088669951,1/1
300030997,"City of Scotts Mills, Mayor","","","","City of Scotts Mills",123059,,300046068,"Jason K Axness",12/3/2024 1:26:02 PM,1,66,0.32512315270936,1/1
300030996,"City of Scotts Mills, Councilor (Vote For 3)","","","","City of Scotts Mills",123060,,9901,"Write-in",12/3/2024 1:26:02 PM,3,30,0.078740157480315,1/1
300030996,"City of Scotts Mills, Councilor (Vote For 3)","","","","City of Scotts Mills",123060,,100073897,"Aage Wurdinger",12/3/2024 1:26:02 PM,3,126,0.330708661417323,1/1
300030996,"City of Scotts Mills, Councilor (Vote For 3)","","","","City of Scotts Mills",123060,,300045976,"Shawna Axness",12/3/2024 1:26:02 PM,3,94,0.246719160104987,1/1
